Timestamp,RPM,Frequency (Hz)
2024-09-09 22:01:26.803201,30993.77241082102,10331.257470273673
2024-09-09 22:01:26.904144,31120.086658761164,10373.362219587054
2024-09-09 22:01:27.005085,30875.898089018912,10291.96602967297
2024-09-09 22:01:27.106026,30859.048962950776,10286.349654316926
2024-09-09 22:01:27.206968,31059.719013742088,10353.239671247364
2024-09-09 22:01:27.307909,31015.474044626953,10338.491348208983
2024-09-09 22:01:27.408851,30890.170286283967,10296.723428761323
2024-09-09 22:01:27.509792,30939.866942326495,10313.288980775496
2024-09-09 22:01:27.610736,30863.95178398144,10287.983927993813
2024-09-09 22:01:27.711677,30860.409870269403,10286.803290089802
2024-09-09 22:01:27.812618,30776.96856135927,10258.98952045309
2024-09-09 22:01:27.913560,30999.04067707173,10333.01355902391
2024-09-09 22:01:28.014502,30976.741519180654,10325.580506393551
2024-09-09 22:01:28.115444,30985.455999474834,10328.485333158278
2024-09-09 22:01:28.216385,31119.711033992993,10373.237011330997
2024-09-09 22:01:28.317327,30969.447202052357,10323.149067350785
2024-09-09 22:01:28.418269,30883.125544839524,10294.375181613175
2024-09-09 22:01:28.519210,30912.23062870957,10304.076876236524
2024-09-09 22:01:28.620152,30928.868833644457,10309.622944548151
2024-09-09 22:01:28.721094,30991.103497509885,10330.367832503294
2024-09-09 22:01:28.822036,31148.236767255337,10382.745589085114
2024-09-09 22:01:28.922977,31025.09006974828,10341.696689916094
2024-09-09 22:01:29.023919,30934.550832933153,10311.516944311052
2024-09-09 22:01:29.124861,30891.306543708353,10297.102181236118
2024-09-09 22:01:29.225804,30984.011701035713,10328.003900345238
2024-09-09 22:01:29.326744,30756.495657850825,10252.165219283608
2024-09-09 22:01:29.427686,31030.16036102238,10343.38678700746
2024-09-09 22:01:29.528628,31027.88486643117,10342.62828881039
2024-09-09 22:01:29.629569,30872.303371322825,10290.767790440941
2024-09-09 22:01:29.730511,30927.849489293283,10309.283163097762
2024-09-09 22:01:29.831453,31056.820272600402,10352.273424200133
2024-09-09 22:01:29.932396,30904.182733895424,10301.394244631809
2024-09-09 22:01:30.033337,30965.593436098025,10321.86447869934
2024-09-09 22:01:30.134278,30930.853997793758,10310.284665931253
2024-09-09 22:01:30.235220,30973.859575679293,10324.619858559765
2024-09-09 22:01:30.336162,30990.644371985763,10330.21479066192
2024-09-09 22:01:30.437104,30946.928884194047,10315.642961398016
2024-09-09 22:01:30.538045,30927.52876290021,10309.17625430007
2024-09-09 22:01:30.638988,31020.00296283121,10340.000987610403
2024-09-09 22:01:30.739930,30851.716927487116,10283.905642495705
2024-09-09 22:01:30.840872,30929.431211083196,10309.810403694399
2024-09-09 22:01:30.941813,30849.570881015334,10283.190293671778
2024-09-09 22:01:31.042754,31024.70430711445,10341.568102371482
2024-09-09 22:01:31.143696,30920.34533504663,10306.781778348877
2024-09-09 22:01:31.244639,31036.715899738043,10345.571966579348
2024-09-09 22:01:31.345579,30900.919992825347,10300.306664275116
2024-09-09 22:01:31.446521,31078.331874739048,10359.44395824635
